date,ssm,lst_mean,lst_min,lst_max
2022-06-08,68.0,24.754,16.74,41.93
2022-06-09,64.0,30.521,22.43,41.26
2022-06-10,,28.088,18.22,41.18
2022-06-11,,27.497,15.6,41.36
2022-06-12,,24.178,13.82,39.29
2022-06-13,127.5,27.224,15.64,35.79
2022-06-14,56.0,29.383,14.82,39.44
2022-06-15,,24.47,17.82,28.47
2022-06-16,,25.848,16.19,34.67
2022-06-17,,28.399,17.78,42.42
2022-06-18,,28.52,16.5,43.32
2022-06-19,,23.285,13.53,31.64
2022-06-20,,23.192,10.11,32.79
2022-06-21,56.5,20.935,17.36,26.65
2022-06-22,,27.326,16.55,40.84
2022-06-23,,27.736,17.56,40.73
2022-06-24,,26.563,16.6,42.57
2022-06-25,127.5,27.962,16.89,45.26
2022-06-26,62.5,26.786,15.87,40.21
2022-06-27,,27.361,17.24,39.6
2022-06-28,,28.217,17.03,41.38
2022-06-29,,28.59,18.78,41.57
2022-06-30,,27.504,18.06,40.57
2022-07-01,,27.761,18.42,40.53
2022-07-02,46.5,18.358,16.72,20.75
2022-07-03,50.5,,,
2022-07-07,127.5,,,
2022-07-08,49.0,,,
2022-07-14,44.5,,,
2022-07-15,40.5,,,
2022-07-20,127.5,,,
2022-07-26,47.5,,,
2022-07-27,46.0,,,
2022-07-31,,32.425,23.67,41.13
2022-08-01,38.0,32.298,22.84,47.94
2022-08-02,,32.784,19.88,49.01
2022-08-03,,32.694,22.56,47.38
2022-08-04,,30.401,22.82,45.81
2022-08-05,,31.94,23.06,45.85
2022-08-06,,32.323,23.53,46.13
2022-08-07,33.5,31.597,20.45,47.19
2022-08-08,20.5,32.047,20.21,46.51
2022-08-09,,29.659,22.81,43.87
2022-08-10,,29.536,23.83,40.07
2022-08-11,,30.9,21.83,43.79
2022-08-12,127.5,28.776,20.01,39.63
2022-08-13,34.0,31.7,22.54,45.67
2022-08-14,,27.842,21.64,44.57
2022-08-15,,32.601,22.53,49.46
2022-08-16,,30.506,20.71,49.28
2022-08-17,,32.874,21.7,46.86
2022-08-18,,30.686,10.35,45.01
2022-08-19,21.0,30.629,21.41,44.54
2022-08-20,22.5,30.335,19.88,45.74
2022-08-21,,29.671,20.22,47.03
2022-08-22,,29.987,22.36,43.69
2022-08-23,,31.705,22.5,47.21
2022-08-24,127.5,30.587,23.18,47.93
2022-08-25,35.0,35.476,24.64,46.63
2022-08-26,,31.725,24.7,42.56
2022-08-27,,31.699,21.56,47.35
2022-08-28,,28.178,20.12,38.88
2022-08-29,,26.114,23.0,35.05
2022-08-30,,29.056,21.73,42.38
2022-08-31,23.0,33.491,24.22,42.41
2022-09-01,25.5,29.948,18.06,44.25
2022-09-02,,23.015,20.62,25.41
2022-09-03,,28.29,23.97,32.61
2022-09-04,,30.468,19.61,45.98
2022-09-05,127.5,33.968,22.22,47.92
2022-09-06,21.5,33.566,20.85,47.84
2022-09-07,,38.624,17.01,48.87
2022-09-08,,31.972,18.36,48.15
2022-09-09,,30.604,17.84,47.7
2022-09-10,,29.368,20.57,43.98
2022-09-11,,31.247,18.66,43.25
2022-09-12,20.5,27.177,20.87,44.0
2022-09-13,24.5,,,
2022-09-14,,21.85,20.9,23.87
2022-09-15,,28.341,19.82,43.97
2022-09-16,,28.39,18.68,46.23
2022-09-17,127.5,28.595,20.05,42.44
2022-09-18,26.5,25.749,12.32,36.46
2022-09-19,,26.407,16.68,38.64
2022-09-20,,27.377,18.08,42.98
2022-09-21,,32.77,28.48,37.06
2022-09-22,,31.712,19.28,43.54
2022-09-23,,25.331,18.45,37.21
2022-09-24,14.5,23.952,13.26,38.33
2022-09-25,22.5,20.37,17.11,23.63
2022-09-26,,21.642,11.87,33.0
2022-09-27,,22.168,15.57,33.83
2022-09-28,,21.714,15.11,37.27
2022-09-29,127.5,22.343,15.3,33.45
2022-09-30,55.0,21.043,15.37,31.61
2022-10-06,100.0,,,
2022-10-11,127.5,,,
2022-10-12,93.0,,,
2022-10-19,39.0,,,
2022-10-23,127.5,,,
2022-10-24,56.5,,,
2022-10-30,32.0,,,
2022-10-31,43.5,,,
2022-11-01,,22.531,12.21,30.83
2022-11-02,,19.795,15.46,27.96
2022-11-03,,17.979,15.42,23.12
2022-11-04,127.5,16.2,8.41,23.91
2022-11-05,24.0,18.456,11.98,30.3
2022-11-06,,17.978,11.47,28.52
2022-11-07,,17.677,10.0,28.92
2022-11-08,,18.344,11.47,27.35
2022-11-09,,22.983,12.78,30.62
2022-11-10,,17.444,11.28,26.14
2022-11-11,99.0,16.736,12.72,22.38
2022-11-12,99.5,19.268,13.98,27.16
2022-11-13,,16.953,11.42,25.12
