fecha,eto,viento_max,viento_med,precip_max,precip,temp_max_abs,temp_max,temp_med,temp_min_abs,temp_min,hr_max,hr_med,hr_min,rad_max,rad_med
2022-01-10,3.11,13.97,2.94,0.2,0.2,22.77,22.29,17.89,11.09,11.8,66.78,45.74,31.12,559.2,77.55
2022-01-11,0.58,2.019,0.1,1.1,2.7,13.06,12.69,11.23,7.384,7.83,88.35,84.39,77.62,316.4,38.57
2022-01-12,0.68,3.469,0.22,0.1,0.1,15.65,14.75,10.04,5.302,5.89,89.98,76.46,56.66,548.6,91.54
2022-01-13,0.82,5.645,0.55,0.9,2.2,14.4,13.58,9.09,4.561,4.79,89.53,75.15,51.18,688.6,101.53
2022-01-14,0.67,3.136,0.28,0.0,0.0,13.38,13.01,7.14,2.413,2.72,87.12,75.08,48.4,748.9,89.25
2022-01-15,0.66,2.881,0.19,0.0,0.0,15.53,14.79,8.27,3.986,4.37,88.5,73.11,39.79,718.7,105.15
2022-01-16,0.82,3.077,0.38,0.0,0.0,17.23,16.62,7.31,0.092,0.41,89.12,65.83,23.24,572.3,137.36
2022-01-17,0.83,2.92,0.42,0.0,0.0,15.16,14.82,6.51,0.196,0.44,87.37,66.65,35.55,559.5,133.92
2022-01-18,0.71,2.313,0.25,0.0,0.0,15.77,15.34,6.29,-0.007,0.23,89.13,69.85,36.66,566.0,135.66
2022-01-19,0.73,3.116,0.31,0.0,0.0,14.22,13.81,5.85,0.458,0.8,88.88,70.28,42.29,824.0,96.83
2022-01-20,0.71,2.313,0.25,0.0,0.0,15.01,13.57,6.15,0.391,0.82,89.48,73.69,45.82,568.2,113.12
2022-01-21,0.82,3.567,0.33,0.0,0.0,15.19,14.73,7.61,0.656,1.03,89.27,71.07,38.14,570.2,131.99
2022-01-22,0.56,1.98,0.09,0.5,1.1,10.1,9.77,8.68,6.403,6.8,89.52,85.28,78.92,236.8,31.97
2022-01-23,0.64,2.587,0.13,0.7,3.0,12.11,11.86,9.32,7.483,7.69,90.32,84.45,67.42,736.0,53.17
2022-01-24,0.8,5.096,0.32,0.4,0.5,14.5,13.84,9.67,6.168,6.45,86.77,74.26,54.58,833.0,76.6
2022-01-25,0.8,5.527,0.59,1.2,3.3,13.87,13.1,10.6,8.66,9.12,88.9,80.68,67.41,736.0,46.37
