date,ndvi_mean,ndvi_min,ndvi_max,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,evi2_mean,evi2_min,evi2_max,savi_mean,savi_min,savi_max
2021-11-01,0.0312576766629688,0.022307202219963,0.0404364578425884,-0.0052530953343804,-0.0134417004883289,0.0021786491852253,0.2289263850352803,0.2239058762788772,0.2359012216329574,0.0052530953343804,-0.0021786491852253,0.0134417004883289,0.3798181568501426,0.2340824007987976,0.7062780261039734,0.0417836426955754,0.0297977998852729,0.0538461543619632,0.0332996576230545,0.0237547531723976,0.042983278632164
2021-11-02,0.0312576766629688,0.022307202219963,0.0404364578425884,-0.0052530953343804,-0.0134417004883289,0.0021786491852253,0.2289263850352803,0.2239058762788772,0.2359012216329574,0.0052530953343804,-0.0021786491852253,0.0134417004883289,0.3798181568501426,0.2340824007987976,0.7062780261039734,0.0417836426955754,0.0297977998852729,0.0538461543619632,0.0332996576230545,0.0237547531723976,0.042983278632164
2021-11-06,0.0946567853698964,0.0772163942456245,0.1059635281562805,-0.0797901877858599,-0.0889101326465606,-0.0669914707541465,0.3559817657118937,0.3490774929523468,0.3629235029220581,0.0797901877858599,0.0669914707541465,0.0889101326465606,0.2795051021165534,0.2150326818227768,0.3398682177066803,0.1023836476636714,0.0845585018396377,0.1139324381947517,0.0888283950139264,0.0730227306485176,0.09907066822052
2021-11-07,0.0946567853698964,0.0772163942456245,0.1059635281562805,-0.0797901877858599,-0.0889101326465606,-0.0669914707541465,0.3559817657118937,0.3490774929523468,0.3629235029220581,0.0797901877858599,0.0669914707541465,0.0889101326465606,0.2795051021165534,0.2150326818227768,0.3398682177066803,0.1023836476636714,0.0845585018396377,0.1139324381947517,0.0888283950139264,0.0730227306485176,0.09907066822052
2021-11-11,0.4830506837270298,0.1452645808458328,0.7462522983551025,-0.5563395790389328,-0.780311644077301,-0.2663392424583435,0.0127520720153802,-0.0605942159891128,0.0670926496386528,0.5563395790389328,0.2663392424583435,0.780311644077301,0.2709017807587248,0.1130699440836906,0.3951264023780823,0.3010551892831677,0.1298355758190155,0.4372965395450592,0.3091285240943316,0.1205145865678787,0.4557366967201233
2021-11-12,0.4830506837270298,0.1452645808458328,0.7462522983551025,-0.5563395790389328,-0.780311644077301,-0.2663392424583435,0.0127520720153802,-0.0605942159891128,0.0670926496386528,0.5563395790389328,0.2663392424583435,0.780311644077301,0.2709017807587248,0.1130699440836906,0.3951264023780823,0.3010551892831677,0.1298355758190155,0.4372965395450592,0.3091285240943316,0.1205145865678787,0.4557366967201233
2021-11-16,0.4716106857188411,0.11043132096529,0.7687861323356628,-0.5340574938254279,-0.7437452673912048,-0.2201680690050125,0.022342489051373,-0.0392237268388271,0.1323020905256271,0.5340574938254279,0.2201680690050125,0.7437452673912048,0.2801883047232861,0.0972888469696044,0.4595613777637481,0.301224513132064,0.1047768741846084,0.4742942154407501,0.3071695806794479,0.0953055992722511,0.4907597005367279
2021-11-17,0.4716106857188411,0.11043132096529,0.7687861323356628,-0.5340574938254279,-0.7437452673912048,-0.2201680690050125,0.022342489051373,-0.0392237268388271,0.1323020905256271,0.5340574938254279,0.2201680690050125,0.7437452673912048,0.2801883047232861,0.0972888469696044,0.4595613777637481,0.301224513132064,0.1047768741846084,0.4742942154407501,0.3071695806794479,0.0953055992722511,0.4907597005367279
2021-11-21,0.0312257005268188,0.0118546849116683,0.055098682641983,0.0034574819657165,-0.0104471370577812,0.0127915730699896,0.1546429297963126,0.1325594782829284,0.1788061559200287,-0.0034574819657165,-0.0127915730699896,0.0104471370577812,-0.2415676651919474,-0.3995433747768402,-0.1581632643938064,0.0495121687284258,0.0192496757954359,0.0873438343405723,0.0365516559419328,0.0140533335506916,0.0644934251904487
2021-11-22,0.0312257005268188,0.0118546849116683,0.055098682641983,0.0034574819657165,-0.0104471370577812,0.0127915730699896,0.1546429297963126,0.1325594782829284,0.1788061559200287,-0.0034574819657165,-0.0127915730699896,0.0104471370577812,-0.2415676651919474,-0.3995433747768402,-0.1581632643938064,0.0495121687284258,0.0192496757954359,0.0873438343405723,0.0365516559419328,0.0140533335506916,0.0644934251904487
2021-11-26,0.6232634768134254,0.2299552261829376,0.8824716210365295,-0.6312331669643277,-0.7938909530639648,-0.3467023074626922,0.1262860546712992,0.0097380792722105,0.2484713792800903,0.6312331669643277,0.3467023074626922,0.7938909530639648,0.3752396536655114,0.1621559560298919,0.581615686416626,0.3959138097821688,0.181842565536499,0.601331889629364,0.4053050807264985,0.1755101084709167,0.6060123443603516
2021-11-27,0.6232634768134254,0.2299552261829376,0.8824716210365295,-0.6312331669643277,-0.7938909530639648,-0.3467023074626922,0.1262860546712992,0.0097380792722105,0.2484713792800903,0.6312331669643277,0.3467023074626922,0.7938909530639648,0.3752396536655114,0.1621559560298919,0.581615686416626,0.3959138097821688,0.181842565536499,0.601331889629364,0.4053050807264985,0.1755101084709167,0.6060123443603516
2021-12-01,0.5630152863068659,0.2134587615728378,0.8445144295692444,-0.5808303957102727,-0.7608286142349243,-0.3086905181407928,0.1265869428266267,0.0481446236371994,0.276832103729248,0.5808303957102727,0.3086905181407928,0.7608286142349243,0.3523602827650602,0.1612198054790496,0.5698084831237793,0.3747379442707437,0.1823802143335342,0.5923137068748474,0.3791507189391089,0.1718026101589203,0.5921555757522583
